Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
SF,Dez Wells,4000,Den@OKC 07:00PM ET,0,OKC
SG,Pat Connaughton,4000,Uta@Por 09:00PM ET,0,Por
SG,Darrun Hilliard,4000,Det@SA 04:00PM ET,0,Det
SG,James Ennis,4000,Mia@Atl 07:00PM ET,11.056,Mia
PG,Spencer Dinwiddie,4000,Det@SA 04:00PM ET,11.824,Det
SG,Nick Johnson,4000,Den@OKC 07:00PM ET,4.75,Den
SG,Josh Richardson,4000,Mia@Atl 07:00PM ET,0,Mia
PG,Pierre Jackson,4000,Phi@Bkn 01:00PM ET,0,Phi
SF,Quincy Miller,4000,Phi@Bkn 01:00PM ET,8.9,Bkn
PG,Ryan Boatright,4000,Phi@Bkn 01:00PM ET,0,Bkn
SG,Shannon Scott,4000,Cle@Tor 06:00PM ET,0,Tor
C,Youssou Ndoye,4000,Det@SA 04:00PM ET,0,SA
PF,Greg Whittington,4000,Mia@Atl 07:00PM ET,0,Mia
PF,Michale Kyser,4000,Cle@Tor 06:00PM ET,0,Tor
SG,Treveon Graham,4000,Uta@Por 09:00PM ET,0,Uta
SF,Maurice Harkless,4000,Uta@Por 09:00PM ET,8.922,Por
SG,Norman Powell,4000,Cle@Tor 06:00PM ET,0,Tor
PG,Keifer Sykes,4000,Det@SA 04:00PM ET,0,SA
SF,Terran Petteway,4000,Mia@Atl 07:00PM ET,0,Atl
PG,Shane Larkin,4000,Phi@Bkn 01:00PM ET,15.928,Bkn
PF,Jarnell Stokes,4000,Min@Mem 06:00PM ET,6.421,Mem
PF,Furkan Aldemir,4000,Phi@Bkn 01:00PM ET,10.098,Phi
SF,Sergey Karasev,4000,Phi@Bkn 01:00PM ET,10.561,Bkn
PF,Richaun Holmes,4000,Phi@Bkn 01:00PM ET,0,Phi
SG,Michael Qualls,4000,Den@OKC 07:00PM ET,0,OKC
SF,J.P. Tokoto,4000,Phi@Bkn 01:00PM ET,0,Phi
SF,Kyle Anderson,4000,Det@SA 04:00PM ET,7.47,SA
SF,Anthony Bennett,4000,Cle@Tor 06:00PM ET,12.535,Tor
SG,Nick Wiggins,4000,Min@Mem 06:00PM ET,0,Min
SF,DeQuan Jones,4000,Mia@Atl 07:00PM ET,0,Atl
